Time,Alloy,Values
1970.0,Secondary castings,0.0
1971.0,Wrought,0.0
1971.0,Primary castings,0.0
1971.0,Secondary castings,0.0
1972.0,Wrought,0.0
1972.0,Primary castings,0.0
1972.0,Secondary castings,0.0
1973.0,Wrought,0.0
1973.0,Primary castings,0.0
1973.0,Secondary castings,0.0
1974.0,Wrought,0.0
1974.0,Primary castings,0.0
1974.0,Secondary castings,0.0
1975.0,Wrought,0.0
1975.0,Primary castings,0.0
1975.0,Secondary castings,0.0
1976.0,Wrought,0.0
1976.0,Primary castings,0.0
1976.0,Secondary castings,0.0
1977.0,Wrought,0.0
1977.0,Primary castings,0.0
1977.0,Secondary castings,0.0
1978.0,Wrought,0.0
1978.0,Primary castings,0.0
1978.0,Secondary castings,0.0
1979.0,Wrought,0.0
1979.0,Primary castings,0.0
1979.0,Secondary castings,0.0
1980.0,Wrought,0.0
1980.0,Primary castings,0.0
1980.0,Secondary castings,0.0
1981.0,Wrought,0.0
1981.0,Primary castings,0.0
1981.0,Secondary castings,0.0
1982.0,Wrought,0.0
1982.0,Primary castings,0.0
1982.0,Secondary castings,8741271.31685331
1983.0,Wrought,0.0
1983.0,Primary castings,0.0
1983.0,Secondary castings,0.0
1984.0,Wrought,0.0
1984.0,Primary castings,0.0
1984.0,Secondary castings,0.0
1985.0,Wrought,0.0
1985.0,Primary castings,0.0
1985.0,Secondary castings,0.0
1986.0,Wrought,0.0
1986.0,Primary castings,0.0
1986.0,Secondary castings,0.0
1987.0,Wrought,0.0
1987.0,Primary castings,0.0
1987.0,Secondary castings,0.0
1988.0,Wrought,0.0
1988.0,Primary castings,0.0
1988.0,Secondary castings,0.0
1989.0,Wrought,0.0
1989.0,Primary castings,0.0
1989.0,Secondary castings,0.0
1990.0,Wrought,0.0
1990.0,Primary castings,0.0
1990.0,Secondary castings,0.0
1991.0,Wrought,0.0
1991.0,Primary castings,0.0
1991.0,Secondary castings,0.0
1992.0,Wrought,0.0
1992.0,Primary castings,0.0
1992.0,Secondary castings,0.0
1993.0,Wrought,0.0
1993.0,Primary castings,0.0
1993.0,Secondary castings,0.0
1994.0,Wrought,0.0
1994.0,Primary castings,0.0
1994.0,Secondary castings,0.0
1995.0,Wrought,0.0
1995.0,Primary castings,0.0
1995.0,Secondary castings,0.0
1996.0,Wrought,0.0
1996.0,Primary castings,0.0
1996.0,Secondary castings,0.0
1997.0,Wrought,0.0
1997.0,Primary castings,0.0
1997.0,Secondary castings,0.0
1998.0,Wrought,0.0
1998.0,Primary castings,0.0
1998.0,Secondary castings,0.0
